timestamp,seat_id,fused_motion_confidence,intensity,is_invigilator_motion,is_seat_vacated
42.0,seat_66,0.0,0.241,0,1
42.0,seat_65,0.72,0.123,0,1
42.0,seat_64,0.051,0.2,0,1
42.0,seat_63,1.395,0.045,0,1
42.0,seat_61,0.0,0.248,0,1
42.0,seat_60,0.0,0.24,0,1
42.5,seat_66,0.0,0.247,0,1
42.5,seat_65,0.161,0.101,0,1
42.5,seat_64,0.0,0.193,0,1
42.5,seat_63,0.674,0.038,0,1
42.5,seat_61,0.0,0.269,0,1
42.5,seat_60,0.0,0.236,0,1
43.0,seat_66,0.0,0.257,0,1
43.0,seat_65,0.819,0.128,0,1
43.0,seat_64,0.126,0.208,0,1
43.0,seat_63,1.397,0.045,0,1
43.0,seat_61,0.0,0.292,0,1
43.0,seat_60,0.0,0.249,0,1
43.5,seat_66,0.0,0.25,0,1
43.5,seat_65,0.106,0.099,0,1
43.5,seat_64,0.0,0.183,0,1
43.5,seat_63,0.523,0.037,0,1
43.5,seat_61,0.0,0.283,0,1
43.5,seat_60,0.0,0.229,0,1
44.0,seat_66,0.0,0.251,0,1
44.0,seat_65,0.77,0.127,0,1
44.0,seat_64,0.006,0.195,0,1
44.0,seat_63,1.203,0.044,0,1
44.0,seat_61,0.0,0.285,0,1
44.0,seat_60,0.0,0.231,0,1
44.5,seat_66,0.0,0.238,0,1
44.5,seat_65,0.319,0.109,0,1
44.5,seat_64,0.0,0.184,0,1
44.5,seat_63,0.674,0.038,0,1
44.5,seat_61,0.0,0.266,0,1
44.5,seat_60,0.0,0.224,0,1
45.0,seat_66,0.0,0.256,0,1
45.0,seat_65,0.636,0.121,0,1
45.0,seat_64,0.127,0.208,0,1
45.0,seat_63,1.215,0.044,0,1
45.0,seat_61,0.0,0.275,0,1
45.0,seat_60,0.0,0.234,0,1
45.5,seat_66,0.0,0.255,0,1
45.5,seat_65,1.164,0.142,0,1
45.5,seat_64,0.709,0.269,0,1
45.5,seat_63,0.908,0.041,0,1
45.5,seat_61,0.0,0.277,0,1
45.5,seat_60,0.004,0.252,0,1
46.0,seat_66,0.0,0.271,0,1
46.0,seat_65,1.629,0.161,0,1
46.0,seat_64,1.214,0.323,0,1
46.0,seat_63,1.453,0.047,0,1
46.0,seat_61,0.0,0.29,0,1
46.0,seat_60,0.47,0.274,0,1
46.5,seat_66,0.0,0.268,0,1
46.5,seat_65,0.85,0.131,0,1
46.5,seat_64,1.097,0.31,0,1
46.5,seat_63,0.869,0.041,0,1
46.5,seat_61,0.0,0.287,0,1
46.5,seat_60,0.0,0.243,0,1
47.0,seat_66,0.13,0.277,0,1
47.0,seat_65,1.757,0.17,0,1
47.0,seat_64,1.587,0.362,0,1
47.0,seat_63,1.568,0.048,0,1
47.0,seat_61,0.0,0.314,0,1
47.0,seat_60,0.84,0.291,0,1
47.5,seat_66,0.0,0.261,0,1
47.5,seat_65,1.693,0.169,0,1
47.5,seat_64,1.414,0.344,0,1
47.5,seat_63,0.315,0.035,0,1
47.5,seat_61,0.0,0.3,0,1
47.5,seat_60,0.407,0.271,0,1
48.0,seat_66,0.0,0.269,0,1
48.0,seat_65,2.333,0.196,0,1
48.0,seat_64,1.27,0.327,0,1
48.0,seat_63,1.232,0.044,0,1
48.0,seat_61,0.101,0.325,0,1
48.0,seat_60,1.55,0.324,0,1
48.5,seat_66,0.0,0.251,0,1
48.5,seat_65,1.315,0.153,0,1
48.5,seat_64,0.515,0.25,0,1
