frame_index,x1,y1,x2,y2
334,26,139,71,169
336,23,137,71,169
337,25,138,69,168
338,26,139,68,168
339,23,137,69,168
341,22,138,67,188
342,20,136,67,168
344,20,137,66,167
345,19,136,66,167
347,18,136,65,167
348,18,136,64,167
350,18,136,62,181
351,19,136,61,182
353,17,135,61,183
354,31,142,60,185
355,30,141,59,181
356,30,140,60,181
358,29,141,57,181
359,29,141,56,179
361,27,141,55,180
363,25,140,53,180
364,25,140,50,179
365,25,139,52,181
366,24,139,51,177
368,7,140,49,179
373,1,132,47,163
377,0,133,23,164
378,0,132,23,164
379,0,130,42,160
381,0,130,42,163
382,0,129,42,163
384,0,129,40,165
385,0,129,39,165
387,0,128,39,172
388,0,129,18,165
390,0,128,37,170
392,0,128,35,165
393,0,128,35,164
396,0,127,33,165
398,0,127,32,165
401,0,130,26,171
402,0,131,25,172
403,0,134,24,172
404,0,132,23,171
405,0,133,23,172
409,0,131,24,162
410,0,131,23,161
419,0,129,19,175
693,233,75,263,100
795,333,179,351,216
796,327,167,351,224
797,320,167,351,225
798,313,161,351,223
799,306,158,351,222
800,299,154,351,224
801,292,145,351,222
802,286,142,351,223
803,278,141,351,224
804,271,135,351,221
805,265,134,351,223
806,257,132,351,221
807,251,129,351,215
808,244,128,351,225
809,237,125,351,222
810,231,124,351,218
811,224,124,351,218
812,217,122,351,214
813,211,121,351,212
814,205,120,351,210
815,198,117,349,207
816,191,119,341,204
820,164,112,312,195
823,144,105,291,188
826,125,99,270,180
828,94,179,129,207
829,180,42,248,84
829,96,179,144,211
830,184,42,268,90
830,95,178,142,210
831,0,165,66,204
831,79,178,144,221
832,183,40,268,90
832,85,86,227,168
832,93,177,143,210
833,184,40,248,85
833,79,85,221,165
833,0,164,34,192
833,90,176,145,211
834,177,18,248,84
834,76,81,214,160
834,0,143,153,232
835,181,40,272,92
835,67,81,207,162
835,0,143,37,191
835,38,159,145,224
836,157,0,276,91
836,68,78,201,157
836,0,142,40,194
836,40,160,145,228
836,182,203,224,231
837,157,0,276,85
837,53,75,194,154
837,0,142,145,228
837,183,202,222,231
838,182,40,272,92
838,46,75,186,155
838,0,143,36,192
839,160,0,276,87
839,40,71,180,150
839,181,202,224,232
840,162,0,248,85
840,34,67,174,148
840,0,143,153,232
840,183,203,224,231
841,162,0,276,93
841,26,71,166,149
841,275,79,315,107
841,318,92,351,121
842,161,0,248,85
842,21,64,161,142
842,183,202,224,231
843,163,0,272,92
843,14,62,152,142
843,0,141,155,232
843,181,202,225,232
844,164,0,270,92
844,7,63,146,141
844,316,91,351,121
844,0,141,57,191
844,40,159,164,232
844,181,202,226,232
845,151,0,248,79
845,39,1,92,33
845,93,17,139,47
845,2,57,139,134
845,250,57,278,83
845,0,142,152,233
845,183,202,224,232
846,165,0,246,51
846,0,57,132,137
846,0,141,57,192
846,181,202,226,232
847,164,0,269,91
847,0,55,126,134
847,0,141,57,192
847,40,160,145,221
847,184,203,224,232
848,167,0,202,20
848,152,18,248,79
848,0,51,120,127
849,168,0,211,28
849,183,41,270,92
849,0,51,112,127
849,93,177,144,211
850,191,40,248,80
850,0,48,106,125
850,95,178,143,210
851,181,27,221,58
851,0,44,100,121
851,331,133,351,176
852,187,43,248,84
852,0,46,91,124
852,318,133,351,180
853,0,41,86,119
853,314,129,351,176
854,0,39,79,118
854,308,143,351,177
855,0,42,73,117
855,301,143,351,179
856,0,37,67,111
856,296,139,351,174
857,0,38,60,112
857,290,138,351,179
858,0,39,53,110
858,284,138,351,178
859,0,37,48,105
859,279,129,351,172
860,0,39,40,104
860,272,126,351,173
861,0,39,34,100
861,266,124,351,172
862,0,39,28,93
863,0,40,21,90
864,282,119,344,166
864,326,185,351,218
865,291,116,338,163
865,319,179,351,218
866,285,116,332,162
866,311,173,351,218
867,279,113,325,159
867,304,177,351,218
868,273,111,319,158
868,297,161,351,218
869,262,107,307,153
869,283,159,351,216
870,256,106,301,152
870,276,155,351,216
871,249,104,294,150
871,268,154,351,217
872,244,102,289,148
872,262,150,351,222
873,238,101,283,146
873,254,151,351,220
874,232,98,277,144
874,247,145,351,217
875,227,97,271,143
875,240,143,351,215
876,221,95,265,141
876,233,142,351,213
877,215,92,259,138
877,226,137,350,208
878,208,93,253,138
878,219,136,343,208
879,204,88,247,133
879,213,134,336,204
880,197,88,241,134
880,207,132,328,203
881,192,86,235,131
881,200,129,321,200
882,186,83,228,128
882,192,127,313,196
883,141,75,200,120
883,157,117,278,185
884,152,73,194,117
884,150,113,270,180
889,116,104,234,171
890,91,63,160,106
890,110,101,226,167
892,79,59,149,102
893,73,58,205,161
894,77,91,192,155
895,54,54,185,155
896,48,52,119,96
896,66,88,178,153
897,189,0,223,22
897,42,37,172,147
898,37,52,164,149
899,32,45,158,144
900,25,47,150,141
901,20,44,143,142
902,5,39,137,137
903,9,43,129,135
904,5,38,123,130
905,0,32,116,124
906,0,33,109,127
907,0,32,102,125
908,0,28,93,120
909,0,29,88,123
910,0,26,80,120
911,0,23,76,117
912,0,23,68,116
913,0,20,25,58
913,0,56,63,112
914,0,18,22,55
914,0,55,56,110
915,0,55,49,108
916,0,52,43,106
917,0,51,36,104
918,0,63,30,100
919,0,60,23,95
923,214,0,241,24
924,214,0,242,24
926,215,0,243,24
927,216,0,244,24
928,218,0,244,45
928,273,107,310,134
929,216,0,245,25
930,218,0,246,45
931,219,0,247,47
932,219,0,248,42
933,219,0,248,47
934,220,0,248,47
934,200,97,229,122
935,221,0,250,44
936,223,0,251,45
937,223,3,251,49
938,224,0,252,45
939,225,0,252,47
939,189,80,227,106
940,225,0,254,46
941,226,0,256,47
941,180,75,210,101
942,226,2,255,48
942,170,73,205,100
943,227,0,256,44
944,226,2,256,47
945,227,2,257,47
945,149,68,187,93
946,228,3,256,45
947,228,17,255,47
948,229,17,255,47
949,231,4,257,42
958,240,4,266,50
959,240,20,266,51
959,31,44,63,69
960,242,4,268,51
961,242,7,268,52
962,242,9,268,51
963,242,5,270,52
963,332,126,351,169
964,242,5,270,52
964,326,124,351,184
965,242,5,271,53
965,0,31,29,57
965,318,120,351,181
966,243,6,273,52
966,312,119,351,176
967,244,5,272,54
967,305,115,351,177
968,244,6,273,52
968,298,115,351,175
969,244,5,274,53
969,291,109,351,175
970,244,5,275,53
970,284,111,351,173
971,244,6,276,53
971,278,108,351,170
972,245,8,276,53
972,271,104,351,169
973,245,5,277,52
973,264,104,351,168
974,245,6,277,53
974,257,100,351,169
975,246,6,278,53
975,250,99,351,186
976,247,5,281,51
976,243,98,351,181
977,247,9,278,54
977,236,96,351,182
978,248,6,281,52
978,230,93,351,178
979,248,6,281,52
979,223,93,351,176
980,252,12,281,48
980,216,91,351,176
981,249,7,282,51
981,210,90,351,169
982,253,8,282,48
982,203,87,351,170
983,254,10,282,46
984,255,7,286,47
985,256,10,284,46
986,257,9,284,46
987,257,7,287,46
988,258,13,286,45
989,258,9,287,46
990,259,9,289,46
991,259,16,287,46
992,260,10,289,46
993,261,11,289,47
994,262,16,289,47
995,263,11,291,48
996,263,13,291,48
997,264,15,291,47
998,265,13,293,51
999,266,14,293,60
1000,266,14,293,60
1001,267,12,296,57
1002,267,16,296,60
1003,268,14,296,60
1004,268,14,298,58
1005,269,18,299,60
1006,269,15,300,60
1007,270,15,301,60
1008,271,20,301,62
1009,270,16,302,61
1010,271,17,303,61
1011,272,20,303,63
1012,274,17,304,61
1013,274,19,304,62
1014,276,19,305,62
1015,277,18,306,62
1016,277,19,306,62
1017,0,19,125,93
1017,278,19,307,62
1018,0,17,119,91
1018,279,19,307,62
1019,0,15,113,89
1019,279,19,308,63
1020,0,13,106,87
1020,280,20,309,63
1021,0,11,100,85
1021,281,20,310,63
1022,0,9,93,83
1022,281,21,310,64
1023,0,9,87,81
1023,281,21,311,64
1024,0,12,80,79
1024,283,22,312,65
1025,0,17,74,76
1025,283,21,313,64
1026,0,13,68,70
1026,284,23,313,65
1027,0,8,61,65
1027,284,22,314,66
1028,0,12,56,62
1028,285,21,315,66
1029,0,16,49,62
1029,285,24,316,67
1030,0,14,43,59
1030,286,22,316,67
1031,0,13,37,54
1031,287,21,317,67
1032,0,13,30,53
1032,287,24,318,68
1033,0,12,25,44
1033,288,21,319,68
1034,288,22,320,68
1035,289,25,320,68
1036,289,20,321,67
1037,290,23,322,68
1038,290,25,322,68
1039,292,22,322,63
1039,302,71,347,96
1040,292,25,323,67
1041,293,24,324,68
1042,295,23,325,59
1043,295,28,325,67
1044,297,23,327,58
1045,298,23,328,57
1045,327,126,351,165
1046,299,28,328,61
1046,319,125,351,170
1047,299,24,329,55
1047,313,120,351,167
1048,301,25,330,57
1048,307,119,351,168
1049,301,27,330,59
1049,300,119,351,171
1050,302,25,331,54
1050,294,115,351,167
1051,302,27,332,57
1051,287,114,351,169
1052,303,27,332,57
1052,281,112,351,170
1053,303,26,333,54
1053,275,109,351,166
1054,305,29,334,57
1054,270,109,351,177
1055,305,28,334,57
1055,261,107,351,168
1056,307,28,335,54
1056,256,104,351,168
1057,307,31,335,58
1057,249,103,351,171
1058,243,101,351,166
1059,237,99,351,165
1087,324,173,351,211
1088,315,165,351,216
1089,333,37,351,82
1089,306,165,351,215
1090,335,38,351,83
1090,296,162,351,213
1091,336,35,351,81
1091,288,155,351,209
1092,335,38,351,84
1092,279,155,351,210
1093,336,37,351,83
1093,270,151,351,209
1094,261,146,351,217
1095,252,147,351,219
1096,244,142,351,213
1097,236,137,349,209
